"BRIDGE_NE_INNER;2xM1x1+M1x5", "CN", "HR2:BRIDGE_NE_INNER_2xM1x1+M1x5", "", "", "NE Inner Bridge Connectors"
"Pin", "Unit", "Type",     "Name", "Style", "Side"
"1",   "A",    "power_in", "GND",  "line",  "right"
"2",   "B",    "power_in", "5V",   "line",  "right"
"3",   "C",    "output",   "ECHO", "line",  "right"
"4",   "C",    "input",    "TRIG", "line",  "right"
"5",   "C",    "input",    "LED1", "line",  "right"
"6",   "C",    "input",    "LED2", "line",  "right"
"7",   "C",    "input",    "LED3", "line",  "right"
,,,,,,


