"BRIDGE_SE_OUTER;M1x8", "CN", "HR2:BRIDGE_SE_OUTER_M1x8", "", "", "SE Outer Bridge Connector"
"Pin", "Unit", "Type",      "Name",  "Style", "Side"
"1",   "A",    "power_out", "GND",   "line",  "right"
"2",   "A",    "power_out", "9V",    "line",  "right"
"3",   "A",    "output",    "LED12", "line",  "right"
"4",   "A",    "output",    "LED13", "line",  "right"
"5",   "A",    "output",    "LED14", "line",  "right"
"6",   "A",    "output",    "LED15", "line",  "right"
"7",   "A",    "output",    "LED16", "line",  "right"
"8",   "A",    "passive",   "NC",    "line",  "right"
,,,,,,


