"BRIDGE_SW_INNER;M1x8", "CN", "HR2:BRIDGE_SW_INNER_M1x8", "", "", "SW Inner Bridge Connector"
"Pin", "Unit", "Type",     "Name",  "Style", "Side"
"1",   "A",    "power_in", "GND",   "line",  "right"
"2",   "A",    "power_in", "9V",    "line",  "right"
"3",   "A",    "input",    "LED7",  "line",  "right"
"4",   "A",    "input",    "LED8",  "line",  "right"
"5",   "A",    "input",    "LED9",  "line",  "right"
"6",   "A",    "input",    "LED10", "line",  "right"
"7",   "A",    "input",    "LED11", "line",  "right"
"8",   "A",    "passive",  "NC",    "line",  "right"
,,,,,,


