"SN74HC595;TSSOP16", "U", "Package_SO:TSSOP-16_4.4x5mm_P0.65mm", "", "Tri-state 8-Bit Shift Register", "Tri-State 8-Bit Shift Register"
"Pin", "Unit", "Type",     "Name",   "Style",    "Side"
"14",  "A",    "input",    "SER",    "line",     "left"
"11",  "A",    "input",    "SRCLK",  "line",     "left"
"12",  "A",    "input",    "RCLK",   "line",     "left"
"10",  "A",    "input",    "~SRCLR", "inverted", "left"
"13",  "A",    "input",    "~OE",    "inverted", "left"
"16",  "A",    "power_in", "VCC",    "line",     "right"
"15",  "A",    "tristate", "Q0",     "line",     "right"
"1",   "A",    "tristate", "Q1" ,    "line",     "right"
"2",   "A",    "tristate", "Q2",     "line",     "right"
"3",   "A",    "tristate", "Q3",     "line",     "right"
"4",   "A",    "tristate", "Q4",     "line",     "right"
"5",   "A",    "tristate", "Q5",     "line",     "right"
"6",   "A",    "tristate", "Q6",     "line",     "right"
"7",   "A",    "tristate", "Q7",     "line",     "right"
"9",   "A",    "tristate", "~Q0",    "inverted", "right"
"8",   "A",    "power_in", "GND",    "line",     "right"
,,,,,,
