RASPI;F2X20,CN,HR2:RASPI_F2X20,,Raspberry Pi F2x20 Connector (Row Swappped)
Pin,Name,Type,Side,Unit,Style,Hidden
1,3.3V,pwr_in,right,1,,
2,5V,pwr_in,right,1,,
3,GPIOP02,passive,right,1,,
4,5V,pwr_in,right,1,,
5,GPIO03,passive,right,1,,
6,GND,pwr_in,right,1,,
7,GPIO04,passive,right,1,,
8,TXD0,out,right,1,,
9,GND,pwr_in,right,1,,
10,RXD0,in,right,1,,
11,GPIO17,passive,right,1,,
12,GPIO18,passive,right,1,,
13,GPIO27,passive,right,1,,
14,GND,pwr_in,right,1,,
15,GPIO22,passive,right,1,,
16,GPIO23,passive,right,1,,
17,3.3V,pwr_in,right,1,,
18,GPIO24,passive,right,1,,
19,GPIO10,passive,right,1,,
20,GND,pwr_in,right,1,,
21,GPIO10,passive,right,1,,
22,GPIO25,passive,right,1,,
23,GPIO11,passive,right,1,,
24,GPIO08,passive,right,1,,
25,GND,pwr_in,right,1,,
26,GPIO07,passive,right,1,,
27,ID_SD,passive,right,1,,
28,ID_SC,passive,right,1,,
29,GPIO05,passive,right,1,,
30,GND,pwr_in,right,1,,
31,GPIO06,passive,right,1,,
32,GPIO12,passive,right,1,,
33,GPIO13,passive,right,1,,
34,GND,pwr_in,right,1,,
35,GPIO19,passive,right,1,,
36,GPIO16,passive,right,1,,
37,GPIO26,passive,right,1,,
38,GPIO20,passive,right,1,,
39,GND,pwr_in,right,1,,
40,GPIO21,passive,right,1,,
,,,,,,

