"WOW_IN;M2x6S", "CN", "Connector_PinHeader_2.54:PinHeader_2x06_P2.54mm_Vertical", "", "WOW Input Connector", "WOW Input Connector"
"Pin", "Unit", "Type",      "Name",    "Style", "Side"
"1",   "A",    "power_out", "POW_IN1", "line",  "left"
"2",   "A",    "power_in",  "POW_IN2", "line",  "left"
"3",   "A",    "power_out", "GND1",    "line",  "left"
"4",   "A",    "power_in",  "GND2",    "line",  "left"
"5",   "A",    "passive",   "COML",    "line",  "left"
"6",   "A",    "passive",   "COMH",    "line",  "left"
"7",   "A",    "passive",   "STOPH",   "line",  "left"
"8",   "A",    "passive",   "STOPL",   "line",  "left"
"9",   "A",    "power_in",  "GND3",    "line",  "left"
"10",  "A",    "power_out", "GND4",    "line",  "left"
"11",  "A",    "power_in",  "POW_IN3", "line",  "left"
"12",  "A",    "power_out", "POW_IN4", "line",  "left"
,,,,,,
